Transaction ID,Transaction Date,Arrival Price,Execution Price,Units Traded,Implicit Transaction Cost,Explicit Transaction Cost,Total Transaction Cost
1,2021-01-31,103.73,102.86,1474,-1281.33,305.08,-976.25
2,2021-02-28,102.32,101.95,1084,-400.45,192.27,-208.18
3,2021-03-31,103.07,103.14,898,70.93,170.61,241.54
4,2021-04-30,101.59,102.17,1316,765.18,188.19,953.38
5,2021-05-31,101.92,101.56,1388,-503.14,174.58,-328.57
6,2021-06-30,103.49,103.74,843,212.25,411.83,624.09
7,2021-07-31,97.5,98.27,1463,1129.37,240.05,1369.42
8,2021-08-31,99.89,100.13,639,148.07,123.14,271.21
9,2021-09-30,97.21,96.68,686,-366.38,487.64,121.26
10,2021-10-31,104.88,103.93,1304,-1240.36,453.51,-786.85
11,2021-11-30,104.44,105.18,560,414.51,471.1,885.61
12,2021-12-31,95.39,94.44,1496,-1432.36,497.96,-934.4
13,2022-01-31,102.06,102.81,1438,1077.64,169.56,1247.2
14,2022-02-28,104.25,104.31,879,50.87,258.5,309.37
15,2022-03-31,96.81,97.68,1209,1061.67,403.3,1464.96
16,2022-04-30,100.68,101.28,1306,780.42,378.41,1158.83
17,2022-05-31,104.15,105.15,939,935.12,161.56,1096.68
18,2022-06-30,95.34,95.04,818,-244.24,426.33,182.1
19,2022-07-31,101.97,102.51,801,428.04,189.78,617.81
20,2022-08-31,97.97,97.78,843,-165.34,189.53,24.18
21,2022-09-30,104.24,104.2,510,-20.53,314.79,294.26
22,2022-10-31,104.71,104.97,561,143.06,337.18,480.24
23,2022-11-30,104.44,105.19,1344,1004.44,332.03,1336.48
24,2022-12-31,99.74,100.71,725,701.92,136.59,838.52
25,2023-01-31,103.62,104.16,652,349.83,450.98,800.81
26,2023-02-28,103.45,103.28,1210,-199.0,206.24,7.24
27,2023-03-31,98.19,98.03,1063,-167.2,151.81,-15.39
28,2023-04-30,103.29,103.76,1271,603.93,455.5,1059.43
29,2023-05-31,95.37,94.85,1070,-559.02,482.26,-76.76
30,2023-06-30,100.96,100.18,1083,-843.71,444.85,-398.86
31,2023-07-31,97.3,97.01,1159,-336.99,423.81,86.82
32,2023-08-31,96.21,95.78,1360,-578.71,362.1,-216.61
33,2023-09-30,95.77,95.36,1074,-437.53,320.34,-117.19
34,2023-10-31,101.96,101.43,809,-431.02,134.79,-296.23
35,2023-11-30,98.4,97.48,1384,-1267.49,263.38,-1004.1
36,2023-12-31,102.25,101.28,742,-715.48,249.08,-466.4
